epoch 4 [940/1668], valid loss: 34.66
epoch 4 [960/1668], valid loss: 33.46
epoch 4 [980/1668], valid loss: 34.09
epoch 4 [1000/1668], valid loss: 34.99
epoch 4 [1020/1668], valid loss: 35.33
epoch 4 [1040/1668], valid loss: 35.05
epoch 4 [1060/1668], valid loss: 35.39
epoch 4 [1080/1668], valid loss: 35.35
epoch 4 [1100/1668], valid loss: 34.90
epoch 4 [1120/1668], valid loss: 34.47
epoch 4 [1140/1668], valid loss: 34.18
epoch 4 [1160/1668], valid loss: 33.86
epoch 4 [1180/1668], valid loss: 33.83
epoch 4 [1200/1668], valid loss: 34.94
epoch 4 [1220/1668], valid loss: 35.47
epoch 4 [1240/1668], valid loss: 35.44
epoch 4 [1260/1668], valid loss: 35.17
epoch 4 [1280/1668], valid loss: 34.99
epoch 4 [1300/1668], valid loss: 35.04
epoch 4 [1320/1668], valid loss: 34.92
epoch 4 [1340/1668], valid loss: 34.79
epoch 4 [1360/1668], valid loss: 35.23
epoch 4 [1380/1668], valid loss: 35.33
epoch 4 [1400/1668], valid loss: 34.83
epoch 4 [1420/1668], valid loss: 35.36
epoch 4 [1440/1668], valid loss: 35.72
epoch 4 [1460/1668], valid loss: 35.78
epoch 4 [1480/1668], valid loss: 35.98
epoch 4 [1500/1668], valid loss: 35.45
epoch 4 [1520/1668], valid loss: 36.17
epoch 4 [1540/1668], valid loss: 35.29
epoch 4 [1560/1668], valid loss: 34.54
epoch 4 [1580/1668], valid loss: 34.69
epoch 4 [1600/1668], valid loss: 35.46
epoch 4 [1620/1668], valid loss: 34.94
epoch 4 [1640/1668], valid loss: 34.38
epoch 4 [1660/1668], valid loss: 33.91
Acc: tensor(0.6875)
epoch 5 [0/1668], valid loss: 33.85
epoch 5 [20/1668], valid loss: 34.63
epoch 5 [40/1668], valid loss: 35.24
epoch 5 [60/1668], valid loss: 35.07
epoch 5 [80/1668], valid loss: 34.98
epoch 5 [100/1668], valid loss: 34.33
epoch 5 [120/1668], valid loss: 33.99
epoch 5 [140/1668], valid loss: 34.08
epoch 5 [160/1668], valid loss: 34.40
epoch 5 [180/1668], valid loss: 34.37
epoch 5 [200/1668], valid loss: 34.33
epoch 5 [220/1668], valid loss: 33.64
epoch 5 [240/1668], valid loss: 33.67
epoch 5 [260/1668], valid loss: 34.03
epoch 5 [280/1668], valid loss: 34.40
epoch 5 [300/1668], valid loss: 34.77
epoch 5 [320/1668], valid loss: 34.83
epoch 5 [340/1668], valid loss: 35.21
epoch 5 [360/1668], valid loss: 35.59
epoch 5 [380/1668], valid loss: 35.71
epoch 5 [400/1668], valid loss: 35.78
epoch 5 [420/1668], valid loss: 35.97
epoch 5 [440/1668], valid loss: 35.07
epoch 5 [460/1668], valid loss: 34.50
epoch 5 [480/1668], valid loss: 34.97
epoch 5 [500/1668], valid loss: 34.84
epoch 5 [520/1668], valid loss: 34.18
epoch 5 [540/1668], valid loss: 34.23
epoch 5 [560/1668], valid loss: 34.40
epoch 5 [580/1668], valid loss: 34.54
epoch 5 [600/1668], valid loss: 34.47
epoch 5 [620/1668], valid loss: 35.16
epoch 5 [640/1668], valid loss: 34.95
epoch 5 [660/1668], valid loss: 36.09
epoch 5 [680/1668], valid loss: 36.37
epoch 5 [700/1668], valid loss: 36.26
epoch 5 [720/1668], valid loss: 35.06
epoch 5 [740/1668], valid loss: 34.38
epoch 5 [760/1668], valid loss: 34.27
epoch 5 [780/1668], valid loss: 33.51
epoch 5 [800/1668], valid loss: 32.54
epoch 5 [820/1668], valid loss: 33.26
epoch 5 [840/1668], valid loss: 33.65
epoch 5 [860/1668], valid loss: 33.61
epoch 5 [880/1668], valid loss: 33.93
epoch 5 [900/1668], valid loss: 34.54
epoch 5 [920/1668], valid loss: 35.21
epoch 5 [940/1668], valid loss: 35.36
epoch 5 [960/1668], valid loss: 35.26
epoch 5 [980/1668], valid loss: 35.24
epoch 5 [1000/1668], valid loss: 34.77
epoch 5 [1020/1668], valid loss: 35.46
epoch 5 [1040/1668], valid loss: 35.76
epoch 5 [1060/1668], valid loss: 35.99
epoch 5 [1080/1668], valid loss: 35.94
epoch 5 [1100/1668], valid loss: 35.42
epoch 5 [1120/1668], valid loss: 34.72
epoch 5 [1140/1668], valid loss: 33.84
